iter	MultiClass
355	0.3428980166
356	0.3425480306
357	0.3422336899
358	0.3420771125
359	0.3417512894
360	0.3415580652
361	0.341026398
362	0.3407305558
363	0.3405310348
364	0.3402699376
365	0.3399377079
366	0.3397117391
367	0.3394915363
368	0.3391172777
369	0.3387301088
370	0.3384930589
371	0.3383567678
372	0.3381094933
373	0.3378263937
374	0.3375668358
375	0.3373657942
376	0.3370013774
377	0.336523444
378	0.3361542982
379	0.335815248
380	0.3354844819
381	0.3350745443
382	0.3347714831
383	0.3345297056
384	0.334210114
385	0.3339938415
386	0.3338102969
387	0.3336326116
388	0.3333253081
389	0.333064532
390	0.3328260561
391	0.3325852509
392	0.3322331243
393	0.3319580682
394	0.3318015256
395	0.3316377481
396	0.3313104432
397	0.3309487397
398	0.3307885225
399	0.330432175
400	0.3301822742
401	0.329742628
402	0.3294786699
403	0.3293072651
404	0.3291514844
405	0.3288506225
406	0.3286906248
407	0.328546662
408	0.3283201842
409	0.3279477536
410	0.3277872727
411	0.3274667602
412	0.3272903433
413	0.3270223538
414	0.3269058253
415	0.3267305591
416	0.3265422791
417	0.3262616499
418	0.3258970204
419	0.3255486914
420	0.3253944464
421	0.3251852624
422	0.3249842805
423	0.3247612827
424	0.3245699985
425	0.3241520997
426	0.3240411028
427	0.3238276927
428	0.323607912
429	0.3234935247
430	0.3233116908
431	0.323226355
432	0.3229157458
433	0.3226057129
434	0.3224515582
435	0.3223343226
436	0.3220476023
437	0.3218264452
438	0.32160171
439	0.3214628197
440	0.3211051757
441	0.3207670663
442	0.3205499315
443	0.320333745
444	0.3200822466
445	0.3198968106
446	0.3197275596
447	0.3195975772
448	0.3193401917
449	0.3192721047
450	0.3190876764
451	0.3189992743
452	0.3188114515
453	0.3186793067
454	0.3184888013
455	0.3182534841
456	0.3180134295
457	0.3177982366
458	0.3176976128
459	0.317437563
460	0.3171998601
461	0.3170415022
462	0.3167359287
463	0.3166023749
464	0.3165071625
465	0.3162710607
466	0.3160626373
467	0.3157794275
468	0.3155110344
469	0.3152933054
470	0.3151027629
471	0.3150228369
472	0.3148091455
473	0.3145671669
474	0.3144782499
475	0.314374635
476	0.3142024606
477	0.3138731319
478	0.3137466236
479	0.3135712909
480	0.3134161662
481	0.3132795157
482	0.3129858037
483	0.3127935575
484	0.312601408
485	0.3124000157
486	0.3122214068
487	0.3120543859
488	0.3118811839
489	0.3116568655
490	0.3113954366
491	0.3112248984
492	0.3110128071
493	0.3108946699
494	0.3107374151
495	0.3106460429
496	0.3104523005
497	0.3102681397
498	0.3100499418
499	0.3099320752
